category,subcategory,note,amount,income_expense,currency,year,month,day,grouped_mode
Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR,2018,9,20,Cash
Food,snacks,Idli medu Vada mix 2 plates,60.0,Expense,INR,2018,9,20,Cash
subscription,Mobile Service Provider,Data booster pack,19.0,Expense,INR,2018,9,17,Saving Bank account 1
Festivals,Ganesh Pujan,Ganesh idol,251.0,Expense,INR,2018,9,16,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,200.0,Expense,INR,2018,9,15,Credit Card
Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR,2018,9,14,Cash
Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR,2018,9,13,Saving Bank account 1
Other,Unknown,HBR 2 Months subscription,83.0,Expense,INR,2018,9,13,Credit Card
Food,Grocery,1kg atta,46.0,Expense,INR,2018,9,13,Cash
Family,Pocket money,Unknown,1000.0,Expense,INR,2018,8,31,Cash
Gift,Unknown,farewell contribution,118.0,Expense,INR,2018,8,31,Cash
Food,Dinner,Domino's Pizza,510.85,Expense,INR,2018,8,31,Credit Card
Salary,Unknown,From workplace ,70255.0,Income,INR,2018,8,31,Saving Bank account 1
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,8,31,Cash
Food,Sweets,Warna Srikhand pav kg,78.0,Expense,INR,2018,8,30,Cash
Household,Kirana,Supermart,343.0,Expense,INR,2018,8,30,Cash
Food,Grocery,Baking soda,27.0,Expense,INR,2018,8,29,Cash
Food,Ice cream,chocobar,15.0,Expense,INR,2018,8,29,Cash
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,8,29,Cash
Dividend earned on Shares,Unknown,Astral Stocks,6.75,Income,INR,2018,8,28,Saving Bank account 1
Dividend earned on Shares,Unknown,Reliance Stocks,18.0,Income,INR,2018,8,28,Saving Bank account 1
Food,curd,Dahi 2 packets,20.0,Expense,INR,2018,8,27,Cash
Food,breakfast,2 plates poha,60.0,Expense,INR,2018,8,27,Cash
Food,Biscuits,Khari packet,45.0,Expense,INR,2018,8,27,Cash
Food,Milk,Half lit  milk,36.0,Expense,INR,2018,8,27,Cash
Interest,Unknown,interest paid,30.0,Income,INR,2018,8,26,Saving Bank account 1
Apparel,Laundry,13 clothes ironing,91.0,Expense,INR,2018,8,25,Cash
Food,Dinner,Home Food Delivery,1120.0,Expense,INR,2018,8,24,Credit Card
Other,Unknown,From Family,1000.0,Income,INR,2018,8,24,Saving Bank account 1
